debit_memo,product,ndc,manufacturer,ask_price,received_price,Percentage Returned,Full/partial,Ask Date,Receive Date,Method,Confidence,Pharmacy Name,Status
DEL0918AJW00046,Premarin,00046-0872-21,Wyeth Pharmaceuticals Inc.; a subsidiary of Pfizer,345.28,,,Full,09/10/2018,,,,Pharmacare Pharmacy Inc,UNMATCHED
DEL0918AJW00591,Dicyclomine Hydrochloride,00591-0795-01,Actavis Pharma; Inc.,14.41,,,Full,09/10/2018,,,,Pharmacare Pharmacy Inc,UNMATCHED
DEL0918AJW00591,Silver Sulfadiazene,00591-0810-55,Actavis Pharma; Inc.,14.49,,,Full,09/10/2018,,,,Pharmacare Pharmacy Inc,UNMATCHED
DEL0918AJV49884,Cholestyramine,49884-0465-65,Par Pharmaceutical; Inc.,102.25,,,Full,09/06/2018,,,,Global Express Pharmacy,UNMATCHED
DEL0918AJV65862,Amlodipine and Benazepril,65862-0586-01,Aurobindo Pharma Limited,49,,,Full,09/06/2018,,,,Global Express Pharmacy,UNMATCHED
DEL0918AJY00074,Synthroid,00074-3727-90,AbbVie Inc.,103.12,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY13107,Mirtazapine,13107-0032-34,Aurolife Pharma LLC,12.11,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY31722,Aripiprazole,31722-0819-30,Camber Pharmaceuticals; Inc.,695.73,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY42865,ZENPEP,42865-0306-02,Aptalis Pharma US; Inc.,296.78,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY51672,Warfarin Sodium,51672-4034-01,Taro Pharmaceuticals U.S.A.; Inc.,30.08,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY52544,RAPAFLO,52544-0152-30,Actavis Pharma; Inc.,241.92,,,Partial,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY65162,Divalproex Sodium,65162-0757-10,Amneal Pharmaceuticals of New York; LLC,223.46,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY65597,Azor,65597-0112-30,Daiichi Sankyo; Inc.,319.98,,,Full,09/13/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJY65862,Venlafaxine Hydrochloride,65862-0697-30,Aurobindo Pharma Limited,19,,,Full,09/17/2018,,,,Honolulu Pharmacy,UNMATCHED
DEL0918AJX00185,lisinopril,00185-0640-10,Eon Labs; Inc.,136.14,,,Partial,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX00591,Atenolol and Chlorthalidon,00591-5782-01,Watson Laboratories; Inc.,34.11,,,Partial,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX00781,Loryna,00781-5656-15,Sandoz Inc,102.06,,,Partial,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX16714,Losartan Potassium and HLZ,16714-0224-02,NorthStar Rx LLC,13.82,,,Full,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX50458,Ortho Tri Cyclen,50458-0191-15,Janssen Pharmaceuticals; Inc.,290.82,,,Partial,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX52565,Econazole Nitrate,52565-0022-85,IGI labs; Inc.,203.27,,,Full,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AJX62037,Cartia,62037-0599-05,Actavis Pharma; Inc.,350.95,,,Partial,09/07/2018,,,,Mayerling Pharmacy,UNMATCHED
DEL0918AKB00115,Propranolol Hydrochloride,00115-1661-01,Impax Generics,33.26,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB00409,Sodium Chloride,00409-7983-02,Hospira; Inc.,120,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB00591,Bupropion Hydrochloride,00591-3541-25,Actavis Pharma; Inc.,106.88,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB00603,Benztropine Mesylate,00603-2438-21,Par Pharmaceutical,10.33,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB13668,VENLAFAXINE HYDROC,13668-0019-90,Torrent Pharmaceuticals Limited,42.75,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB25021,ondansetron,25021-0782-20,Sagent Pharmaceuticals,14.25,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB50242,Nutropin AQ NuSpin 20,50242-0076-01,Genentech; Inc.,2514.68,,,Full,09/12/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB50242,Nutropin Aq Nuspin 20,50242-0076-01,Genentech; Inc.,2514.68,,,Full,09/12/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB59746,Lamotrigine,59746-0246-01,JUBILANT CADISTA PHARMACEUTICALS; INC.,21.97,,,Partial,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB60793,BICILLIN L-A,60793-0702-10,Pfizer Laboratories Div Pfizer Inc,3129.3,,,Partial,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB65162,Aripiprazole,65162-0899-03,Amneal Pharmaceuticals of New York; LLC,42.06,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
